"EmpID","Time","User","EventId","Type"
"@{Description=IS-230}","1/15/2019 3:44:18 AM","m.usman","4800","System was Locked"
"@{Description=IS-209}","1/15/2019 3:43:22 AM","Muhammad.Khurram","4800","System was Locked"
"@{Description=IS-230}","1/15/2019 2:47:17 AM","m.usman","4801","System was UnLock"
"@{Description=IS-230}","1/15/2019 2:41:55 AM","m.usman","4800","System was Locked"
"@{Description=IS-299}","1/15/2019 2:25:11 AM","NINEALPHA\Arooj","7002","Logoff"
"@{Description=IS-299}","1/15/2019 2:25:09 AM","Arooj","4647","User initiated logoff"
"@{Description=IS-299}","1/15/2019 2:24:17 AM","Arooj","4801","System was UnLock"
"@{Description=IS-299}","1/15/2019 2:22:39 AM","Arooj","4800","System was Locked"
"@{Description=IS-209}","1/15/2019 2:17:51 AM","Muhammad.Khurram","4801","System was UnLock"
"@{Description=IS-209}","1/15/2019 2:17:03 AM","Muhammad.Khurram","4800","System was Locked"
"@{Description=IS-315}","1/15/2019 1:50:16 AM","javed.iqbal","4800","System was Locked"
"@{Description=IS-315}","1/15/2019 1:50:16 AM",,"4779","Other logon/logoff Events - Possible RDP login"
"@{Description=IS-209}","1/15/2019 1:44:29 AM","Muhammad.Khurram","4801","System was UnLock"
"@{Description=IS-209}","1/15/2019 1:43:06 AM","Muhammad.Khurram","4800","System was Locked"
"@{Description=IS-315}","1/15/2019 1:39:29 AM","javed.iqbal","4801","System was UnLock"
"@{Description=IS-315}","1/15/2019 1:39:23 AM",,"4779","Other logon/logoff Events - Possible RDP login"
"@{Description=IS-282}","1/15/2019 1:27:30 AM","Muhammad.Uzair","4800","System was Locked"
"@{Description=IS-230}","1/15/2019 1:14:20 AM","m.usman","4801","System was UnLock"
"@{Description=IS-209}","1/15/2019 1:12:44 AM","Muhammad.Khurram","4801","System was UnLock"
"@{Description=IS-282}","1/15/2019 1:12:07 AM","Muhammad.Uzair","4801","System was UnLock"
"@{Description=IS-230}","1/15/2019 1:08:28 AM","m.usman","4800","System was Locked"
"@{Description=IS-282}","1/15/2019 1:03:50 AM","Muhammad.Uzair","4800","System was Locked"
"@{Description=IS-209}","1/15/2019 1:03:11 AM","Muhammad.Khurram","4800","System was Locked"
"@{Description=IS-230}","1/15/2019 1:00:41 AM","m.usman","4801","System was UnLock"
"@{Description=IS-230}","1/15/2019 12:48:14 AM","m.usman","4800","System was Locked"
